risk_pct,max_pos_pct,sl_mult,tp_mult,sma_fast,sma_slow,sma_long,Return [%],Max Drawdown [%],Sharpe Ratio,Profit Factor,Total Trades,Calmar Ratio
0.006,0.08,1.8,6.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.006,0.08,1.5,6.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.008,0.08,2.0,10.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.008,0.08,2.0,8.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.006,0.08,1.8,8.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.006,0.08,1.8,10.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.006,0.08,2.0,8.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.006,0.08,2.0,6.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.006,0.08,2.0,10.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.008,0.08,2.0,6.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.006,0.08,1.5,10.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.008,0.08,1.5,6.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
0.005,0.08,2.0,10.0,10,40,120,46.55841609793416,10.83992888045955,0.7253602186423482,2.3562177663449333,100,0.45133624763882424
